Date de livraison,Longueur du tronçon en m,Running total
2018-06-23,74.0,8739.0
2018-06-24,74.0,8739.0
2018-06-25,74.0,8739.0
2018-06-26,74.0,8739.0
2018-06-27,74.0,8739.0
2018-06-28,74.0,8739.0
2018-06-29,74.0,8739.0
2018-06-30,85.0,8824.0
2018-07-01,85.0,8824.0
2018-07-02,85.0,8824.0
2018-07-03,85.0,8824.0
2018-07-04,85.0,8824.0
2018-07-05,85.0,8824.0
2018-07-06,85.0,8824.0
2018-07-07,85.0,8824.0
2018-07-08,85.0,8824.0
2018-07-09,85.0,8824.0
2018-07-10,85.0,8824.0
2018-07-11,85.0,8824.0
2018-07-12,85.0,8824.0
2018-07-13,85.0,8824.0
2018-07-14,85.0,8824.0
2018-07-15,85.0,8824.0
2018-07-16,85.0,8824.0
2018-07-17,85.0,8824.0
2018-07-18,85.0,8824.0
2018-07-19,85.0,8824.0
2018-07-20,85.0,8824.0
2018-07-21,85.0,8824.0
2018-07-22,85.0,8824.0
2018-07-23,85.0,8824.0
2018-07-24,85.0,8824.0
2018-07-25,85.0,8824.0
2018-07-26,85.0,8824.0
2018-07-27,85.0,8824.0
2018-07-28,85.0,8824.0
2018-07-29,85.0,8824.0
2018-07-30,17.0,8841.0
2018-07-31,18.0,8859.0
2018-08-01,18.0,8859.0
2018-08-02,18.0,8859.0
2018-08-03,18.0,8859.0
2018-08-04,18.0,8859.0
2018-08-05,18.0,8859.0
2018-08-06,18.0,8859.0
2018-08-07,18.0,8859.0
2018-08-08,18.0,8859.0
2018-08-09,18.0,8859.0
2018-08-10,18.0,8859.0
2018-08-11,18.0,8859.0
2018-08-12,18.0,8859.0
2018-08-13,18.0,8859.0
2018-08-14,18.0,8859.0
2018-08-15,18.0,8859.0
2018-08-16,18.0,8859.0
2018-08-17,18.0,8859.0
2018-08-18,18.0,8859.0
2018-08-19,18.0,8859.0
2018-08-20,18.0,8859.0
2018-08-21,18.0,8859.0
2018-08-22,18.0,8859.0
2018-08-23,18.0,8859.0
2018-08-24,18.0,8859.0
2018-08-25,18.0,8859.0
2018-08-26,18.0,8859.0
2018-08-27,18.0,8859.0
2018-08-28,18.0,8859.0
2018-08-29,18.0,8859.0
2018-08-30,2.0,8861.0
2018-08-31,205.0,9066.0
2018-09-01,205.0,9066.0
2018-09-02,205.0,9066.0
2018-09-03,205.0,9066.0
2018-09-04,205.0,9066.0
2018-09-05,205.0,9066.0
2018-09-06,205.0,9066.0
2018-09-07,205.0,9066.0
2018-09-08,205.0,9066.0
2018-09-09,205.0,9066.0
2018-09-10,205.0,9066.0
2018-09-11,205.0,9066.0
2018-09-12,205.0,9066.0
2018-09-13,205.0,9066.0
2018-09-14,205.0,9066.0
2018-09-15,205.0,9066.0
2018-09-16,205.0,9066.0
2018-09-17,205.0,9066.0
2018-09-18,205.0,9066.0
2018-09-19,205.0,9066.0
2018-09-20,205.0,9066.0
2018-09-21,205.0,9066.0
2018-09-22,205.0,9066.0
2018-09-23,205.0,9066.0
2018-09-24,205.0,9066.0
2018-09-25,205.0,9066.0
2018-09-26,205.0,9066.0
2018-09-27,205.0,9066.0
2018-09-28,205.0,9066.0
2018-09-29,205.0,9066.0
2018-09-30,205.0,9066.0
2018-10-01,205.0,9066.0
2018-10-02,205.0,9066.0
2018-10-03,205.0,9066.0
2018-10-04,205.0,9066.0
2018-10-05,205.0,9066.0
2018-10-06,205.0,9066.0
2018-10-07,205.0,9066.0
2018-10-08,205.0,9066.0
2018-10-09,205.0,9066.0
2018-10-10,205.0,9066.0
2018-10-11,205.0,9066.0
2018-10-12,205.0,9066.0
2018-10-13,205.0,9066.0
2018-10-14,205.0,9066.0
2018-10-15,205.0,9066.0
2018-10-16,205.0,9066.0
2018-10-17,205.0,9066.0
2018-10-18,205.0,9066.0
2018-10-19,205.0,9066.0
2018-10-20,205.0,9066.0
2018-10-21,205.0,9066.0
2018-10-22,205.0,9066.0
2018-10-23,205.0,9066.0
2018-10-24,205.0,9066.0
2018-10-25,205.0,9066.0
2018-10-26,205.0,9066.0
2018-10-27,205.0,9066.0
2018-10-28,205.0,9066.0
2018-10-29,205.0,9066.0
2018-10-30,205.0,9066.0
2018-10-31,6.0,9072.0
2018-11-01,6.0,9072.0
2018-11-02,6.0,9072.0
2018-11-03,6.0,9072.0
2018-11-04,6.0,9072.0
2018-11-05,6.0,9072.0
2018-11-06,6.0,9072.0
2018-11-07,6.0,9072.0
2018-11-08,6.0,9072.0
2018-11-09,6.0,9072.0
2018-11-10,6.0,9072.0
2018-11-11,6.0,9072.0
2018-11-12,6.0,9072.0
2018-11-13,6.0,9072.0
2018-11-14,6.0,9072.0
2018-11-15,6.0,9072.0
2018-11-16,6.0,9072.0
2018-11-17,6.0,9072.0
2018-11-18,6.0,9072.0
2018-11-19,6.0,9072.0
2018-11-20,6.0,9072.0
2018-11-21,6.0,9072.0
2018-11-22,6.0,9072.0
2018-11-23,6.0,9072.0
2018-11-24,6.0,9072.0
2018-11-25,6.0,9072.0
2018-11-26,6.0,9072.0
2018-11-27,6.0,9072.0
2018-11-28,6.0,9072.0
2018-11-29,6.0,9072.0
2018-11-30,219.0,9291.0
2018-12-01,219.0,9291.0
2018-12-02,219.0,9291.0
2018-12-03,219.0,9291.0
2018-12-04,219.0,9291.0
2018-12-05,219.0,9291.0
2018-12-06,219.0,9291.0
2018-12-07,219.0,9291.0
2018-12-08,219.0,9291.0
2018-12-09,219.0,9291.0
2018-12-10,219.0,9291.0
2018-12-11,219.0,9291.0
2018-12-12,219.0,9291.0
2018-12-13,219.0,9291.0
2018-12-14,219.0,9291.0
2018-12-15,219.0,9291.0
2018-12-16,219.0,9291.0
2018-12-17,219.0,9291.0
2018-12-18,219.0,9291.0
2018-12-19,219.0,9291.0
2018-12-20,219.0,9291.0
2018-12-21,219.0,9291.0
2018-12-22,219.0,9291.0
2018-12-23,219.0,9291.0
2018-12-24,219.0,9291.0
